Machine_ID,Temperature,Run_Time,Downtime_Flag
M_315,100.77,79.83,0
M_997,92.04,421.26,1
M_872,110.76,295.31,0
M_768,110.66,125.65,0
M_178,75.64,349.35,1
M_477,93.57,254.86,0
M_319,69.45,331.28,1
M_447,51.75,450.95,0
M_620,73.5,350.39,0
M_193,59.88,333.09,1
M_442,118.29,392.52,0
M_039,53.32,283.43,0
M_363,61.9,364.57,0
M_751,116.83,103.58,1
M_431,99.98,405.02,1
M_751,78.73,244.87,1
M_188,61.7,68.73,1
M_009,73.38,82.86,1
M_207,106.37,243.74,1
M_994,101.08,290.09,0
M_361,81.15,214.87,0
M_110,97.24,59.73,0
M_531,75.33,125.95,1
M_832,108.12,465.46,0
M_932,95.87,283.93,1
M_186,71.85,309.46,1
M_834,95.6,219.44,1
M_200,81.87,138.03,0
M_844,90.24,410.04,1
M_774,73.16,90.8,1
M_172,51.96,295.47,0
M_100,85.44,213.88,0
M_714,107.46,22.64,0
M_726,62.55,409.16,1
M_569,96.96,300.42,1
M_607,55.67,150.42,0
M_067,83.62,149.38,0
M_988,58.77,476.82,1
M_285,82.0,83.43,0
M_682,87.93,358.44,1
M_421,102.18,340.76,1
M_500,84.47,226.53,0
M_933,63.35,23.07,1
M_243,99.23,128.96,1
M_565,118.85,291.45,0
M_834,93.67,248.72,0
M_530,73.59,269.03,0
M_679,87.57,41.79,1
M_736,74.63,401.17,0
M_287,80.85,154.58,1
M_565,88.17,484.13,1
M_659,71.38,311.07,0
M_486,108.17,350.87,0
M_709,52.69,487.12,1
M_506,80.21,465.54,1
M_584,119.18,143.45,0
M_911,57.16,478.31,1
M_828,61.33,288.22,0
M_202,84.7,196.07,0
M_840,106.34,133.01,0
M_857,88.69,478.59,0
M_454,90.62,42.19,0
M_112,61.16,230.79,1
M_426,117.17,314.11,0
M_531,80.01,372.77,1
M_650,100.65,24.89,1
M_280,117.69,400.8,0
M_923,88.12,476.26,1
M_767,86.98,46.25,1
M_597,76.02,113.67,1
M_556,117.98,311.49,1
M_687,94.39,266.93,1
M_438,54.41,474.94,0
M_263,51.19,349.09,1
M_301,69.81,377.76,1
M_455,100.77,417.22,0
M_933,93.57,59.29,0
M_737,74.2,95.1,1
M_216,54.11,333.15,1
M_416,51.29,201.35,0
M_144,90.0,195.28,0
M_344,77.26,37.47,0
M_408,53.38,116.07,0
M_847,92.18,32.95,0
M_862,116.28,270.67,0
M_149,70.76,96.17,1
M_729,101.86,395.34,0
M_156,96.51,111.63,0
M_661,52.96,426.8,0
M_922,91.64,145.29,1
M_058,50.76,175.42,1
M_534,65.31,336.92,1
M_842,105.12,432.77,1
M_544,60.31,199.96,1
M_484,86.97,314.71,0
M_095,105.5,160.91,1
M_483,93.69,83.31,1
M_320,85.99,123.37,1
M_257,51.53,192.54,0
M_995,96.25,498.84,0
M_738,99.61,158.47,1
M_370,94.71,27.82,0
M_531,109.06,74.8,0
M_214,92.91,227.44,1
M_941,87.27,453.31,1
M_087,111.54,316.44,0
M_101,73.06,382.01,1
M_893,57.09,135.83,1
M_600,57.58,7.07,0
M_320,61.14,176.94,0
M_195,92.59,68.14,0
M_812,87.93,496.42,0
M_174,90.4,410.68,1
M_434,89.91,95.2,1
M_708,74.15,442.3,1
M_399,50.67,453.98,0
M_749,78.3,223.22,1
M_513,73.18,26.94,1
M_796,67.12,407.91,1
M_599,100.3,171.85,0
M_315,112.6,127.1,0
M_583,100.86,197.0,1
M_989,79.74,371.23,0
M_230,55.96,86.01,1
M_121,110.02,302.11,0
M_754,94.09,266.03,1
M_327,101.52,24.57,0
M_265,83.37,340.51,1
M_446,93.25,35.5,1
M_140,100.06,413.42,0
M_960,88.47,73.44,0
M_465,98.18,210.85,1
M_682,85.51,62.3,1
M_313,111.7,177.64,1
M_992,105.41,368.68,1
M_262,119.55,486.0,0
M_714,75.57,231.41,1
M_472,77.12,290.11,0
M_448,118.52,332.46,1
M_608,89.25,302.74,1
M_442,93.64,461.32,1
M_351,69.88,231.25,1
M_509,95.22,1.88,1
M_421,92.69,56.57,1
M_171,76.55,370.32,0
M_834,102.25,253.1,0
M_457,71.64,394.17,0
M_350,67.43,279.07,1
M_880,89.52,371.72,1
M_649,95.18,28.62,0
M_180,50.52,197.32,0
M_902,88.88,111.89,0
M_910,95.74,68.81,1
M_724,103.83,439.16,0
M_678,119.47,499.48,0
M_736,100.77,371.1,1
M_811,59.92,226.62,1
M_438,73.61,217.04,1
M_853,60.37,36.07,1
M_624,103.07,423.92,0
M_376,91.89,286.24,1
M_717,51.68,28.05,1
M_468,51.54,414.74,1
M_689,72.47,15.99,1
M_210,108.39,48.48,1
M_827,75.05,161.54,0
M_859,119.82,476.55,1
M_356,62.74,376.05,1
M_954,66.29,323.68,1
M_737,118.77,143.74,1
M_306,56.26,330.65,1
M_803,104.12,357.5,1
M_839,53.82,399.45,1
M_343,106.79,31.8,1
M_696,92.8,125.34,0
M_705,80.43,181.74,1
M_670,80.85,4.15,1
M_075,59.72,139.27,1
M_799,93.26,373.74,1
M_450,118.62,161.77,1
M_182,103.37,212.64,0
M_520,114.06,331.45,0
M_645,102.41,141.21,0
M_023,74.12,187.69,0
M_994,58.76,254.4,1
M_041,88.23,414.23,0
M_707,109.51,221.77,1
M_475,72.76,90.86,1
M_613,72.69,371.08,0
M_372,118.13,403.15,1
M_213,112.88,366.3,1
M_501,71.2,410.96,0
M_382,83.32,420.1,1
M_161,80.44,460.18,0
M_052,54.95,153.15,0
M_325,59.39,362.4,0
M_178,119.87,127.65,0
M_047,108.17,90.72,0
M_258,82.76,188.85,0
M_578,69.49,51.45,0
M_703,91.09,466.76,1
M_696,89.16,48.05,0
M_274,77.22,55.17,1
M_350,104.18,112.94,1
M_313,65.84,296.58,1
M_217,55.67,361.2,1
M_352,64.66,302.06,0
M_956,81.4,422.42,1
M_711,108.53,328.41,0
M_646,58.64,191.85,0
M_908,85.37,289.73,0
M_929,117.83,235.92,1
M_334,84.07,39.31,0
M_556,101.45,390.85,0
M_287,85.25,187.95,1
M_192,105.12,108.21,0
M_640,57.23,389.21,0
M_133,110.97,165.16,0
M_464,113.1,496.1,1
M_410,103.02,91.67,1
M_008,61.63,415.3,0
M_417,92.74,78.47,1
M_949,76.14,182.68,1
M_073,59.24,50.69,1
M_760,104.92,4.71,0
M_285,86.3,270.23,1
M_023,102.13,9.32,1
M_395,91.42,129.63,0
M_483,55.77,209.13,0
M_520,79.88,450.04,1
M_086,50.51,449.33,0
M_008,51.55,83.96,0
M_533,61.12,445.33,0
M_225,51.49,76.59,1
M_143,74.6,268.83,1
M_547,115.53,239.2,0
M_377,97.57,451.39,1
M_737,64.54,272.67,0
M_905,55.24,235.04,0
M_923,112.09,118.93,0
M_796,76.52,157.52,1
M_016,119.33,228.66,0
M_360,88.88,21.86,0
M_538,111.75,397.36,1
M_219,55.32,72.05,0
M_241,79.46,318.22,0
M_214,52.31,186.09,1
M_420,79.6,224.09,1
M_143,95.39,40.88,1
M_820,100.16,136.68,1
M_464,67.47,108.59,0
M_435,51.84,3.1,1
M_431,79.73,279.95,0
M_502,104.74,355.45,1
M_743,114.06,490.27,1
M_981,52.69,7.14,0
M_446,112.08,375.02,0
M_643,114.52,181.99,1
M_724,91.73,150.25,0
M_203,78.0,116.36,1
M_153,107.55,214.27,0
M_012,102.94,99.11,1
M_336,65.21,337.34,1
M_409,72.8,120.11,0
M_516,80.24,83.54,1
M_774,62.42,176.86,1
M_910,96.03,31.16,1
M_862,108.1,457.01,1
M_267,102.83,87.77,0
M_340,70.77,361.4,0
M_451,86.36,295.63,1
M_940,112.5,155.77,0
M_925,79.53,161.71,1
M_686,80.15,136.22,1
M_796,71.09,258.56,1
M_714,110.81,129.77,1
M_888,63.59,19.71,1
M_467,77.37,166.11,1
M_856,112.18,142.44,1
M_433,115.6,97.32,1
M_724,78.77,165.52,1
M_416,52.69,107.09,0
M_732,104.24,285.06,1
M_727,50.47,375.23,1
M_154,106.06,74.33,1
M_818,79.55,171.84,0
M_703,57.17,215.38,1
M_949,85.49,205.7,0
M_263,59.3,95.03,1
M_679,78.27,92.01,1
M_088,91.64,398.51,1
M_919,55.08,191.33,1
M_431,103.81,479.3,0
M_619,103.91,178.94,0
M_435,105.18,376.2,1
M_842,107.37,359.52,1
M_645,84.03,344.58,1
M_173,85.62,427.31,0
M_831,112.14,468.91,1
M_094,73.3,242.81,0
M_632,70.91,231.25,0
M_473,82.67,61.53,0
M_598,77.3,413.97,1
M_535,107.77,359.3,0
M_747,56.08,375.9,0
M_531,87.85,161.93,0
M_887,70.72,231.0,1
M_598,99.26,486.56,1
M_999,97.17,478.89,1
M_431,92.87,140.62,0
M_431,78.12,457.69,0
M_633,95.78,278.8,0
M_979,96.84,40.57,0
M_818,70.69,141.76,1
M_444,98.63,279.77,0
M_401,110.0,137.26,1
M_967,116.92,26.09,0
M_921,114.87,435.52,0
M_575,98.04,248.83,1
M_128,106.36,155.41,0
M_430,103.2,267.22,1
M_438,118.85,230.13,1
M_055,86.33,183.46,1
M_310,79.37,88.96,0
M_121,55.08,74.89,1
M_319,107.53,384.77,1
M_702,112.09,134.89,0
M_396,100.96,365.99,1
M_298,72.79,27.78,0
M_463,75.78,275.45,1
M_596,104.95,439.87,1
M_090,97.52,336.2,1
M_689,52.34,379.28,1
M_759,60.96,216.75,0
M_324,67.97,220.58,1
M_482,53.14,406.55,0
M_525,58.85,278.01,0
M_035,86.6,229.01,0
M_093,77.91,394.82,1
M_805,115.03,350.91,1
M_863,96.39,221.02,0
M_835,60.61,53.71,0
M_295,63.35,111.68,0
M_408,113.04,290.94,0
M_769,100.64,226.43,1
M_345,94.56,458.22,1
M_594,93.99,296.88,0
M_234,110.54,327.69,0
M_022,103.17,266.74,1
M_150,82.98,165.66,0
M_748,71.54,84.05,1
M_457,52.08,47.36,0
M_066,82.5,339.33,1
M_738,106.43,349.51,1
M_939,55.55,491.76,0
M_664,79.11,345.69,1
M_347,104.01,324.06,1
M_908,77.4,337.72,0
M_313,95.8,78.84,1
M_826,107.89,213.0,1
M_112,119.68,258.68,0
M_105,65.78,105.94,1
M_044,109.67,386.46,1
M_350,80.91,29.49,1
M_647,69.97,168.8,1
M_929,103.1,475.51,1
M_169,89.5,448.41,1
M_914,85.52,345.11,1
M_197,112.77,46.0,0
M_778,73.47,90.92,0
M_048,58.16,393.64,1
M_652,98.01,313.25,1
M_701,75.91,297.98,0
M_446,80.96,326.07,0
M_599,105.31,227.28,0
M_265,71.25,126.3,0
M_953,112.12,149.84,1
M_978,73.98,83.7,1
M_059,59.38,285.53,0
M_266,113.24,441.69,1
M_842,89.17,235.73,0
M_123,61.16,180.42,0
M_278,59.72,119.06,1
M_168,100.01,396.94,1
M_895,61.64,389.71,0
M_399,85.41,407.48,0
M_655,78.68,164.75,0
M_691,60.08,142.18,0
M_036,84.66,29.28,0
M_862,100.3,467.82,1
M_999,100.52,487.21,1
M_759,74.38,202.65,1
M_530,116.87,338.35,1
M_671,52.5,327.11,0
M_955,79.79,268.03,1
M_518,74.42,242.37,0
M_205,119.85,92.21,1
M_380,70.97,272.46,1
M_934,100.98,15.25,0
M_414,77.54,199.28,1
M_940,107.32,277.47,0
M_072,83.24,354.99,0
M_046,74.17,437.97,1
M_528,54.92,316.86,1
M_289,54.94,1.55,0
M_851,101.38,211.38,0
M_132,97.52,312.19,1
M_723,103.9,443.25,1
M_707,90.8,453.15,0
M_764,118.65,217.18,1
M_925,85.16,160.7,0
M_085,105.84,133.46,1
M_640,95.69,72.51,0
M_879,77.59,448.56,1
M_633,107.23,498.87,1
M_220,72.32,364.67,1
M_325,114.88,99.13,1
M_241,84.13,435.42,1
M_124,79.63,69.01,1
M_085,85.86,419.66,1
M_226,75.28,342.93,1
M_805,118.79,141.17,1
M_439,96.98,492.06,0
M_260,86.23,18.33,1
M_677,69.34,160.3,1
M_016,111.0,134.64,0
M_370,116.25,376.41,0
M_303,101.57,396.63,1
M_262,104.95,434.76,1
M_504,67.05,394.09,0
M_029,75.71,422.65,1
M_836,60.21,402.95,0
M_167,111.67,434.86,0
M_104,116.49,483.58,0
M_959,102.54,62.8,0
M_746,114.93,326.51,1
M_680,104.76,123.09,0
M_1000,104.6,204.56,0
M_930,106.22,336.88,1
M_522,107.53,83.89,1
M_193,109.49,486.15,0
M_533,118.36,299.49,0
M_827,86.42,397.58,0
M_802,60.86,356.88,1
M_091,109.75,6.38,1
M_380,73.01,281.38,0
M_364,65.58,243.36,1
M_364,93.1,199.04,1
M_525,53.75,243.68,0
M_793,95.29,180.16,1
M_895,91.85,370.49,0
M_147,87.71,232.13,1
M_009,64.33,491.67,0
M_932,104.31,50.19,1
M_898,90.57,457.77,1
M_589,53.22,88.73,1
M_070,106.56,360.72,1
M_152,92.68,68.99,1
M_873,84.07,349.77,1
M_642,69.16,391.51,1
M_648,97.87,48.78,0
M_128,90.55,367.24,0
M_722,82.21,127.43,1
M_534,62.31,335.83,1
M_853,76.03,210.16,0
M_942,117.47,345.13,1
M_477,105.22,134.91,1
M_372,102.22,375.51,1
M_622,62.32,343.55,0
M_269,95.42,92.92,1
M_201,51.45,317.84,0
M_933,89.62,234.92,0
M_877,92.83,84.99,0
M_154,81.02,108.59,1
M_675,63.33,113.71,0
M_751,119.69,489.2,1
M_892,73.97,12.91,1
M_307,54.59,392.4,1
M_896,61.69,328.62,0
M_739,71.18,196.44,0
M_011,98.35,397.98,1
M_556,83.47,432.27,1
M_449,91.16,377.0,1
M_491,72.6,72.98,0
M_629,67.81,61.42,1
M_670,111.49,287.25,1
M_284,111.02,396.37,0
M_731,81.19,49.97,1
M_540,115.86,478.84,1
M_287,56.79,379.93,1
M_146,60.15,96.07,1
M_815,95.03,14.34,0
M_003,62.17,233.07,0
M_844,54.6,425.46,0
M_826,108.74,475.53,1
M_616,54.82,377.0,0
M_760,83.67,131.09,1
M_827,96.57,98.23,0
M_115,64.51,49.29,1
M_537,68.88,330.79,1
M_812,72.4,166.33,0
M_839,83.33,364.22,1
M_787,63.68,94.95,1
M_935,87.07,17.27,1
M_856,69.97,23.74,1
M_668,57.05,12.11,1
M_152,52.62,260.97,1
M_280,74.97,48.63,0
M_283,83.54,482.94,0
M_747,97.72,88.84,1
M_427,51.79,134.23,1
M_673,112.2,478.23,1
M_350,106.83,290.74,1
M_688,62.05,310.61,0
M_418,112.04,257.63,1
M_983,75.07,399.14,1
M_414,100.48,12.37,0
M_685,57.78,486.72,0
M_651,73.74,194.02,0
M_347,107.81,55.72,1
M_957,98.15,206.56,1
M_849,104.02,275.72,0
M_929,102.18,438.29,1
M_056,84.42,341.34,0
M_704,83.44,267.02,0
M_861,70.39,297.46,0
M_791,105.58,60.76,1
M_589,95.83,82.35,1
M_269,97.14,328.68,0
M_430,73.71,183.59,0
M_878,78.82,103.16,0
M_177,53.26,452.13,0
M_582,80.22,27.09,0
M_824,96.94,258.83,0
M_286,97.95,65.99,1
M_586,106.72,228.72,1
M_678,71.34,2.58,0
M_498,92.46,380.09,1
M_304,99.47,480.49,0
M_842,82.66,306.17,0
M_903,98.33,100.85,1
M_041,53.13,78.3,0
M_573,80.12,471.01,1
M_172,55.96,219.16,1
M_899,72.43,354.9,0
M_327,93.38,58.49,0
M_770,119.7,403.87,1
M_861,103.47,246.66,1
M_793,50.08,284.39,1
M_669,101.84,61.81,0
M_028,80.14,121.82,0
M_837,76.73,58.3,0
M_815,116.35,187.89,0
M_657,64.29,392.94,0
M_993,87.91,316.83,1
M_572,108.04,207.04,1
M_608,101.08,53.7,0
M_557,85.58,82.36,1
M_319,57.81,129.3,0
M_475,81.36,432.09,0
M_532,56.22,424.33,0
M_672,85.03,217.89,0
M_895,56.14,387.04,1
M_061,52.73,147.47,1
M_242,78.8,185.4,1
M_821,102.27,430.69,0
M_176,92.38,136.78,0
M_970,72.75,465.06,0
M_569,111.24,324.09,1
M_872,92.98,69.65,1
M_817,76.39,407.42,1
M_225,116.09,324.75,1
M_381,88.12,10.26,1
M_007,51.81,132.72,0
M_060,51.88,348.9,0
M_275,116.12,340.81,0
M_627,50.91,497.14,1
M_746,62.74,332.54,0
M_398,101.76,305.97,0
M_957,105.36,229.52,1
M_408,88.99,498.92,0
M_302,77.57,288.25,1
M_044,92.98,235.54,0
M_931,64.14,328.91,0
M_458,95.09,8.23,1
M_866,50.99,166.11,0
M_210,62.56,114.58,1
M_295,83.67,75.88,1
M_440,55.41,487.3,1
M_123,86.37,284.31,1
M_152,59.62,213.36,1
M_054,63.63,330.87,0
M_494,72.86,6.26,1
M_727,66.0,20.1,1
M_118,90.0,406.0,0
M_256,94.02,227.18,0
M_612,51.27,412.93,1
M_067,104.64,312.4,0
M_532,104.7,301.02,0
M_666,98.36,213.72,0
M_977,73.95,58.1,1
M_378,73.35,211.3,1
M_368,115.5,123.3,1
M_313,94.6,111.25,1
M_071,82.05,37.5,1
M_834,55.94,396.07,0
M_669,86.03,208.43,1
M_459,79.21,238.56,1
M_078,58.08,45.1,1
M_420,55.42,166.63,1
M_396,109.32,276.8,0
M_192,90.81,75.35,1
M_098,91.04,328.95,0
M_089,72.88,198.34,0
M_055,64.56,382.11,1
M_198,58.12,115.84,0
M_752,114.19,481.11,0
M_498,52.48,367.99,0
M_907,93.1,445.14,0
M_611,99.43,243.02,0
M_367,79.13,28.63,0
M_982,94.4,287.48,0
M_205,51.39,66.37,0
M_456,82.8,492.17,0
M_811,68.11,79.79,1
M_697,111.07,268.26,0
M_107,114.41,93.07,1
M_699,68.29,219.99,1
M_364,91.76,147.95,1
M_839,103.9,302.46,0
M_201,99.62,470.16,1
M_047,77.46,112.21,1
M_444,57.07,481.06,1
M_141,58.79,171.75,1
M_454,119.95,226.17,0
M_322,79.89,102.61,0
M_077,55.95,269.65,1
M_500,103.22,74.6,1
M_850,115.02,220.35,1
M_936,51.72,226.75,1
M_342,88.55,52.35,0
M_926,56.46,268.28,0
M_756,72.5,173.22,1
M_794,86.66,232.49,0
M_790,53.85,308.38,0
M_495,113.26,15.87,0
M_999,58.02,310.95,0
M_642,102.52,70.18,1
M_251,67.86,256.35,0
M_321,70.32,82.79,1
M_992,91.23,265.1,0
M_572,93.38,116.32,1
M_768,103.74,342.85,0
M_250,94.27,388.13,0
M_405,83.25,162.21,1
M_779,110.31,257.46,1
M_764,89.78,259.69,1
M_648,66.92,482.82,0
M_724,93.98,157.71,0
M_643,92.49,126.09,1
M_993,85.54,125.47,0
M_332,64.45,254.86,1
M_941,52.09,281.44,0
M_830,59.86,151.3,1
M_348,65.26,352.84,1
M_316,117.36,127.51,0
M_629,50.82,10.22,1
M_124,99.11,59.27,0
M_170,83.02,484.53,1
M_936,89.07,359.27,0
M_712,112.88,234.3,1
M_823,119.98,468.54,1
M_247,108.06,80.63,0
M_294,93.26,442.62,0
M_249,61.65,209.13,1
M_615,92.04,399.27,1
M_822,94.74,444.55,1
M_668,107.54,389.96,0
M_656,63.06,45.78,1
M_963,98.27,60.0,1
M_063,78.98,206.81,0
M_954,54.05,392.61,0
M_321,80.71,266.62,1
M_286,117.65,31.41,0
M_181,94.34,233.51,0
M_706,105.72,94.76,1
M_332,90.25,294.78,1
M_709,98.27,366.46,0
M_001,60.65,20.51,1
M_147,90.43,21.57,1
M_407,89.75,250.51,0
M_469,95.53,57.28,1
M_383,93.04,315.73,1
M_869,61.58,157.89,1
M_464,67.94,474.99,1
M_683,114.15,443.65,1
M_292,57.36,149.55,1
M_767,94.76,137.52,1
M_927,81.41,242.81,1
M_197,64.28,3.75,1
M_903,64.48,132.66,1
M_122,53.66,139.86,0
M_524,63.52,256.08,0
M_604,110.72,159.98,0
M_761,92.15,344.3,1
M_550,103.13,143.78,1
M_604,115.9,122.22,0
M_528,63.54,210.11,0
M_397,117.81,386.52,0
M_379,97.31,483.22,0
M_287,52.19,384.73,0
M_351,100.44,401.8,0
M_997,98.04,135.42,1
M_158,53.91,62.77,1
M_628,89.42,349.61,0
M_470,87.64,19.44,1
M_812,103.59,455.93,0
M_438,104.37,388.82,1
M_649,63.97,413.89,1
M_986,109.41,295.57,1
M_980,92.55,178.06,1
M_386,66.13,186.4,0
M_684,107.84,194.88,1
M_437,119.14,156.75,0
M_277,116.57,170.38,1
M_064,113.61,238.01,1
M_821,99.91,68.96,1
M_107,118.63,68.11,1
M_518,76.03,284.77,1
M_493,117.58,153.83,0
M_512,54.04,439.67,1
M_753,106.27,108.66,0
M_469,90.04,399.19,0
M_211,75.35,305.24,0
M_898,59.94,108.56,1
M_806,98.77,469.04,0
M_847,76.42,106.43,0
M_949,98.88,294.45,1
M_169,100.96,104.35,0
M_256,69.09,355.7,1
M_829,56.85,348.45,1
M_389,101.27,371.35,1
M_361,54.28,486.14,1
M_494,63.89,434.23,1
M_856,114.19,141.01,1
M_171,50.0,99.66,1
M_550,91.92,256.05,0
M_565,107.75,445.99,0
M_522,92.36,417.52,0
M_291,90.76,178.95,0
M_611,50.51,260.24,0
M_190,118.92,7.84,1
M_285,87.98,455.06,0
M_114,66.11,348.74,0
M_229,82.06,440.47,1
M_916,114.06,112.03,1
M_999,90.88,261.92,0
M_021,62.66,39.21,0
M_134,99.67,237.56,1
M_589,116.95,100.7,1
M_426,119.44,136.25,0
M_149,110.25,80.1,1
M_996,96.62,245.9,1
M_656,103.93,461.94,0
M_181,79.55,118.15,0
M_781,97.29,335.13,1
M_909,61.05,266.4,1
M_858,85.86,261.8,1
M_088,79.49,471.54,0
M_829,66.73,340.88,0
M_032,77.26,199.94,1
M_332,88.54,22.79,1
M_979,92.65,467.24,1
M_459,111.71,415.25,0
M_465,65.28,266.23,0
M_041,59.98,428.2,0
M_996,90.28,484.31,1
M_220,65.27,342.44,0
M_010,50.89,445.74,1
M_102,87.95,107.76,1
M_417,110.86,125.06,1
M_599,87.6,38.12,1
M_941,91.33,383.39,1
M_001,113.04,19.28,1
M_810,94.98,336.16,1
M_637,112.0,343.87,0
M_179,66.6,342.14,1
M_366,116.21,143.62,0
M_600,88.42,438.08,0
M_537,69.56,484.74,1
M_516,93.95,336.6,0
M_826,119.26,233.35,0
M_848,51.58,332.84,1
M_274,68.02,402.13,0
M_784,74.69,366.78,1
M_537,112.56,153.49,0
M_183,103.91,134.96,1
M_035,102.49,350.88,1
M_106,62.91,124.58,0
M_613,115.2,291.9,0
M_703,77.35,479.91,1
M_925,65.79,321.71,0
M_151,103.98,458.81,1
M_423,101.86,97.61,1
M_984,110.27,113.2,1
M_593,67.95,406.34,1
M_362,54.9,97.45,0
M_632,111.58,139.25,0
M_902,66.83,316.47,0
M_811,62.31,35.98,0
M_091,69.87,186.26,1
M_947,107.91,256.71,0
M_008,104.92,274.68,1
M_913,104.04,212.89,1
M_630,102.87,156.68,0
M_034,76.45,345.61,0
M_011,103.75,254.7,1
M_058,105.12,456.1,0
M_707,58.2,96.64,0
M_154,90.17,400.63,0
M_503,86.86,460.92,1
M_642,65.17,481.11,0
M_933,102.56,59.4,1
M_943,75.69,205.57,1
M_006,110.85,42.64,1
M_810,83.01,486.69,1
M_496,57.76,159.62,1
M_596,78.73,407.34,1
M_719,52.1,414.1,1
M_326,50.38,86.48,0
M_773,91.93,374.09,1
M_653,100.39,401.28,0
M_769,99.69,223.75,0
M_910,115.62,201.44,1
M_884,91.32,151.81,0
M_776,78.27,419.23,0
M_094,69.0,371.69,0
M_966,87.47,45.86,0
M_237,64.86,10.64,1
M_514,71.33,43.93,0
M_846,119.58,337.07,1
M_867,82.27,438.1,0
M_365,93.92,108.53,1
M_899,74.11,373.96,0
M_657,71.05,168.63,1
M_168,102.21,60.22,0
M_839,75.82,248.42,1
M_741,53.8,80.94,0
M_358,63.39,403.08,1
M_771,113.98,295.92,1
M_362,90.46,70.2,0
M_834,55.93,12.46,0
M_349,65.63,264.02,1
M_237,113.36,149.49,0
M_162,114.25,344.35,0
M_290,119.42,134.88,0
M_139,100.76,326.62,1
M_708,57.94,372.86,1
M_593,70.12,212.14,0
M_807,59.94,361.19,0
M_004,57.21,149.26,1
M_398,111.26,422.1,1
M_837,77.37,449.27,1
M_491,98.71,83.03,0
M_371,103.9,416.57,1
M_695,114.77,279.48,0
M_082,78.71,313.02,1
M_836,117.51,342.85,1
M_132,93.5,58.03,1
M_345,107.22,10.02,1
M_837,117.7,424.59,1
M_471,60.69,362.97,1
M_698,69.01,490.15,0
M_404,63.93,270.85,0
M_899,73.96,176.92,0
M_202,54.01,193.28,0
M_671,111.83,193.21,0
M_861,98.97,462.14,1
M_272,107.27,202.45,1
M_747,117.73,387.06,0
M_247,82.08,208.95,1
M_852,92.79,16.25,1
M_042,97.56,14.99,0
M_494,54.85,294.41,0
M_645,83.76,345.43,0
